"#","Reference","Qty","Value","Footprint","DNP"
"1","B1, B2","2","PMB400-S","MBI_Bremsgleichrichter:PMB400-S",""
"2","D1, D4, D6, V3, V4, V5, V6, V7","8","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"3","F2, F3, F4, F5, F6","5","PL FPG4-40","MBI_Fuses_HighCurrent:PLFPG4-40",""
"4","G1","1","IRM-60-24","IRM6024",""
"5","H1, H2, H3, H4, H5, H6, H7","7","MountingHole","MountingHole:MountingHole_4.3mm_M4",""
"6","J2","1","1905010_2pol","MBI_Phoenix_Connectors:1905010_2pol",""
"7","K2, K3, K4","3","K0-05L01-24VDC-Schließer","MBI_Mikro_Schütze:K0-05L01_Öffner",""
"8","R1","1","1905023","MBI_Varistors:1905023",""
"9","S1","1","418117270904","418117270904",""
"10","S2","1","418117270901","MBI_Schalter:418117270901",""
"11","V1, V2","2","1705504","1705504",""
"12","X1","1","09061152911","MBI_Harting_Connectors:09061152911",""
"13","X2","1","09051486921","MBI_Harting_Connectors:09051486921",""
"14","X3, XI1","2","201210211214","MBI_CONMATE_Steckerleisten:201210211214",""
"15","X4","1","201210211216","MBI_CONMATE_Steckerleisten:201210211216",""
"16","X5","1","61801525123","MBI_DSUB:61801525123",""
"17","XEU1","1","61800925123","MBI_DSUB:61800925123",""
"18","XM1","1","201210511212","MBI_CONMATE_Steckerleisten:201210511212",""
